time,Meerssen,Gulp,Eyserbeek,Selzerbeek,Hommerich,Sippenaeken
2010-05-04,2.2217352,2.3202324,2.2579892,2.2899055,2.2710268,2.2339957
2010-05-05,1.8760289,2.07331,1.9741329,2.0308332,2.0439675,2.0720596
2010-05-06,1.4992594,1.3846533,1.4889694,1.4348025,1.3896393,1.3578521
2010-05-07,1.9122508,1.832584,1.869607,1.8422894,1.8228139,1.8327373
2010-05-08,2.02898,2.1270413,2.1382635,2.1548026,2.1552382,2.1966581
2010-05-09,2.3004029,2.4084775,2.379748,2.403661,2.4075658,2.4357708
2010-05-10,1.4349755,1.4957465,1.4665413,1.483645,1.4746089,1.4604257
2010-05-11,1.3050244,1.1776667,1.2412245,1.198772,1.1714867,1.1573035
2010-05-12,1.5300184,1.5249357,1.5045565,1.5087678,1.4995867,1.506041
2010-05-13,1.2102443,1.2000062,1.206759,1.2011921,1.1898166,1.1909784
2010-05-14,1.541221,1.5076545,1.5283079,1.5135117,1.5001354,1.5020394
2010-05-15,2.6713498,2.8266137,2.7433462,2.7800708,2.7940443,2.7851696
2010-05-16,2.5985184,2.705065,2.6964567,2.7189817,2.711172,2.703992
2010-05-17,2.419912,2.2258153,2.3313093,2.2736409,2.212229,2.160434
2010-05-18,2.7310557,2.7708738,2.850809,2.843677,2.8151171,2.8379974
2010-05-19,3.3665516,3.559708,3.444855,3.4952302,3.4994256,3.414569
2010-05-20,3.6548064,3.8540928,3.750559,3.7892523,3.8112288,3.8148108
2010-05-21,2.729327,2.8211198,2.8403533,2.8483243,2.8510997,2.9125597
2010-05-22,3.5723627,3.8098493,3.6860816,3.7358596,3.7772796,3.8232498
2010-05-23,3.419688,3.6689858,3.5259848,3.5816846,3.6313174,3.686743
2010-05-24,4.245865,4.5640726,4.447679,4.5086713,4.556174,4.6086144
2010-05-25,3.4587178,3.7547624,3.5717773,3.6359,3.69089,3.745896
2010-05-26,1.632253,1.5294375,1.5598692,1.5284209,1.5075577,1.5505266
2010-05-27,2.2573347,2.2937782,2.2832253,2.2875338,2.280547,2.2715914
2010-05-28,3.1703112,3.3217893,3.256263,3.281128,3.2930195,3.3160775
2010-05-29,3.4702663,3.5593207,3.5590627,3.5702605,3.5658073,3.5827334
2010-05-30,3.206782,3.2014263,3.2222815,3.2359643,3.2104056,3.274738
2010-05-31,2.4211981,2.400805,2.3823621,2.378683,2.3674204,2.3936732
2010-06-01,2.1817513,2.18663,2.2517612,2.2444518,2.225525,2.2447746
2010-06-02,3.7880213,4.0742464,3.8733828,3.9374733,3.989849,3.989785
2010-06-03,4.3303413,4.6031127,4.477562,4.523484,4.5653396,4.6045327
2010-06-04,4.1699214,4.395158,4.2953916,4.328647,4.3722615,4.458538
2010-06-05,4.3443236,4.5489697,4.485275,4.507074,4.5477514,4.651729
2010-06-06,3.4399502,3.5496635,3.5392802,3.542088,3.5690022,3.681515
2010-06-07,3.3867857,3.587905,3.4740927,3.518272,3.5400226,3.5350206
2010-06-08,3.0929437,3.200458,3.1753595,3.2031932,3.2109869,3.2947462
2010-06-09,1.4354041,1.3405306,1.4410793,1.4078401,1.3857021,1.5217086
2010-06-10,2.2850926,2.2826445,2.3694537,2.347703,2.345089,2.4795465
2010-06-11,4.8195386,5.1709223,5.0813537,5.1499624,5.1827173,5.2274776
2010-06-12,1.8283138,1.8290019,1.7475256,1.7463477,1.7514626,1.7966582
2010-06-13,2.5302925,2.819135,2.6776426,2.7417812,2.8088245,2.97281
2010-06-14,3.46833,3.5487196,3.5420558,3.545912,3.5450246,3.602225
2010-06-15,3.6339777,3.9095428,3.7279694,3.7816525,3.8224268,3.8342543
2010-06-16,4.0970216,4.458764,4.260797,4.3294215,4.3974977,4.4722047
2010-06-17,4.0168185,4.0006924,4.076142,4.035884,3.9858153,3.843177
2010-06-18,2.7641523,3.0077758,2.8336408,2.883758,2.937812,2.9946413
2010-06-19,3.0143313,3.1551738,3.066993,3.0886147,3.1153996,3.1992075
2010-06-20,2.3266118,2.4967954,2.392689,2.431979,2.46972,2.568776
2010-06-21,2.1206758,2.1822248,2.175214,2.1801677,2.1850567,2.233157
2010-06-22,3.125044,3.31281,3.1746495,3.2059524,3.2538102,3.2911482
2010-06-23,3.934555,4.131221,4.056844,4.0768843,4.119224,4.187961
2010-06-24,4.0152006,4.2933345,4.2001276,4.235658,4.299329,4.4216847
2010-06-25,3.7362123,4.0767875,3.9064283,3.9595466,4.054004,4.1805067
2010-06-26,3.8729956,4.054036,3.9932702,3.9995308,4.0477114,4.1253552
2010-06-27,4.2174573,4.495747,4.371326,4.3939962,4.4743996,4.59285
2010-06-28,3.662482,3.8472674,3.7987077,3.7894459,3.84379,3.9332457
2010-06-29,3.2146516,3.3507848,3.2540042,3.2442904,3.301378,3.3962066
2010-06-30,3.4566433,3.750914,3.5514786,3.5781507,3.6913097,3.8285263
2010-07-01,3.5333333,3.8726811,3.6334152,3.6695423,3.7898977,3.9151738
2010-07-02,4.1750116,4.6597967,4.3482194,4.402128,4.562822,4.724984
2010-07-03,3.0701926,3.1524873,3.1857827,3.1589496,3.2116966,3.3978684
2010-07-04,3.320192,3.5828946,3.4532778,3.5185623,3.563258,3.6698654
2010-07-05,2.0102258,2.1932373,2.090696,2.1433787,2.1817653,2.333504
2010-07-06,2.6945846,2.954504,2.8013697,2.8602324,2.9196758,3.04095
2010-07-07,3.7544687,4.121951,3.936344,4.01018,4.097957,4.2413216
2010-07-08,4.1834207,4.682209,4.418506,4.5128827,4.637465,4.81039
2010-07-09,3.4834056,3.8007245,3.6116965,3.6446614,3.7512045,3.930938
2010-07-10,3.9651756,4.371511,4.141975,4.204871,4.3399577,4.5586753
2010-07-11,3.8646557,4.253375,4.0183125,4.088599,4.2083244,4.392463
2010-07-12,2.9931014,3.0302122,3.067219,3.0624752,3.064605,3.22254
2010-07-13,3.2157996,3.481991,3.2561662,3.3171906,3.3742464,3.4766905
2010-07-14,3.8898408,4.2265577,3.977102,4.0501156,4.136263,4.2814183
2010-07-15,3.6021812,3.913197,3.5648067,3.6666865,3.7055085,3.706025
2010-07-16,3.9629626,4.3560696,4.070462,4.16634,4.246082,4.3483806
2010-07-17,3.117811,3.289841,3.0780942,3.140894,3.163419,3.1789093
2010-07-18,3.5451584,3.8640885,3.5821686,3.6677032,3.739103,3.8142946
2010-07-19,3.887877,4.267534,3.9486713,4.03903,4.133133,4.2273965
2010-07-20,3.8861067,4.2937703,3.94141,4.029252,4.1426206,4.2483406
2010-07-21,2.6681685,2.8184814,2.6951332,2.7108493,2.7692926,2.914238
2010-07-22,1.7661182,1.8003936,1.7701153,1.7775214,1.787477,1.8625717
2010-07-23,2.4115446,2.4963112,2.3879774,2.4026928,2.4404824,2.5911238
2010-07-24,3.2628233,3.4613698,3.2332535,3.3100748,3.3489132,3.3983686
2010-07-25,1.9432449,1.9931245,1.9249519,1.9397805,1.9581589,2.0411923
2010-07-26,1.9282526,1.8536166,1.9310188,1.919498,1.9006516,2.0203936
2010-07-27,2.1532881,2.2194982,2.239272,2.253068,2.2520514,2.3338103
2010-07-28,3.1124861,3.0721807,3.1317291,3.1422977,3.1007807,3.1473644
2010-07-29,2.957682,2.8621926,2.9709542,2.9560773,2.8997,2.9442985
2010-07-30,2.8084788,2.971011,2.8887923,2.9392319,2.9598207,3.038514
2010-07-31,2.5040424,2.7034433,2.532455,2.605081,2.6329148,2.651003
2010-08-01,2.6233716,2.8521,2.717078,2.7857347,2.829736,2.9461863
2010-08-02,2.0955873,2.1714544,2.0631044,2.088437,2.1161902,2.2118094
2010-08-03,2.8284776,2.9884856,2.8573925,2.9154158,2.950301,3.077659
2010-08-04,2.0960438,2.0699215,2.1327455,2.130212,2.109026,2.188558
2010-08-05,2.851879,2.9191673,2.8545525,2.8851619,2.889373,2.9316483
2010-08-06,2.5464883,2.693036,2.6169083,2.6641371,2.6826122,2.7810876
2010-08-07,2.9262035,3.1745608,2.9971583,3.0785947,3.1379573,3.2518578
2010-08-08,2.4284313,2.3437095,2.3988202,2.385654,2.3536086,2.3814423
2010-08-09,2.4059293,2.5787961,2.4560692,2.5164967,2.5548832,2.661281
2010-08-10,2.7208903,2.910914,2.8380299,2.9071383,2.940652,3.1044438
2010-08-11,2.2057054,2.1850328,2.2114868,2.2216039,2.2062266,2.267122
2010-08-12,2.832931,2.9965453,2.8886309,2.943395,2.9682114,3.0531971
2010-08-13,2.6574779,2.6543105,2.6617653,2.6652021,2.6440485,2.68208
2010-08-14,2.8052423,2.9459846,2.9054763,2.9569488,2.9662106,3.081499
2010-08-15,1.347802,1.0546653,1.1861378,1.1052502,1.0389816,0.9839433
2010-08-16,1.8708147,1.8954883,1.8110672,1.8260732,1.8359159,1.8390301
2010-08-17,2.6533148,2.6176667,2.6402404,2.637465,2.613036,2.6198452
2010-08-18,2.5146506,2.4545121,2.5166743,2.5063314,2.464266,2.431866
2010-08-19,2.785105,2.9641852,2.8699138,2.9260168,2.933133,2.934553
2010-08-20,3.7265449,3.977941,3.8517935,3.9266787,3.9479291,3.98183
2010-08-21,3.3369408,3.6425316,3.5136893,3.597126,3.646743,3.7636127
2010-08-22,2.244597,2.2557304,2.2827091,2.2788205,2.272608,2.3685017
2010-08-23,3.0764995,3.1044679,3.1234353,3.161273,3.1399581,3.176037
2010-08-24,3.1937816,3.498062,3.3004744,3.41352,3.4257183,3.4204261
2010-08-25,2.4404085,2.6302767,2.5060894,2.5670333,2.5886712,2.6401596
2010-08-26,2.7621605,2.6716642,2.784137,2.7645323,2.7299862,2.7809746
2010-08-27,2.235538,2.2548106,2.2359161,2.2460976,2.2373037,2.2781427
2010-08-28,2.8936327,2.9507525,2.986606,3.0043387,2.9887354,3.0793526
2010-08-29,2.328852,2.2285986,2.2899055,2.2612972,2.2302363,2.2782233
2010-08-30,3.034579,2.818772,2.9478483,2.8961499,2.8286066,2.858877
2010-08-31,2.1080072,2.174964,2.1806679,2.1980295,2.1882837,2.2362225
2010-09-01,1.6933976,1.7987719,1.7078644,1.7441208,1.7546252,1.7690502
2010-09-02,1.5578867,1.6727695,1.5871059,1.6200547,1.6355772,1.6568922
2010-09-03,1.305868,1.4404662,1.3472673,1.3854762,1.4084854,1.4410633
2010-09-04,2.1460826,2.2718983,2.2259443,2.2625558,2.2676065,2.3089616
2010-09-05,2.7363527,2.9598773,2.8065653,2.8736408,2.904831,2.957578
2010-09-06,3.2588818,3.567695,3.3816683,3.4820151,3.5107203,3.556884
2010-09-07,2.017072,1.8685501,1.989494,1.9424429,1.905686,1.9497522
2010-09-08,2.4190407,2.4510994,2.4395142,2.4562306,2.4509704,2.4952142
2010-09-09,1.5950215,1.6503571,1.6146332,1.6229107,1.6348349,1.6838869
2010-09-10,1.2085154,1.143661,1.1973358,1.1746655,1.1513819,1.1491551
2010-09-11,2.627355,2.765912,2.7101395,2.7526243,2.7500267,2.758046
2010-09-12,1.1644655,1.0743668,1.1713253,1.1405387,1.1193366,1.1990625
2010-09-13,2.1149087,2.2483,2.1591108,2.2107124,2.221588,2.2695103
2010-09-14,2.355849,2.2584655,2.4255407,2.3825557,2.2948751,2.193673
2010-09-15,3.1150033,3.1402402,3.1251132,3.144476,3.1044598,3.0746415
2010-09-16,2.3821547,2.3444114,2.3659685,2.3632414,2.3421524,2.3736002
2010-09-17,2.0871646,2.107945,2.1116724,2.1143346,2.0958917,2.1235964
2010-09-18,1.7905428,1.8587234,1.8128743,1.8353672,1.8300103,1.8409824
2010-09-19,1.6395833,1.770793,1.7048955,1.7497845,1.7542378,1.7941087
2010-09-20,2.5121195,2.6791189,2.6155853,2.6691232,2.6661863,2.6809664
2010-09-21,1.5669595,1.6371906,1.6160854,1.636997,1.6448711,1.7354722
2010-09-22,2.1164024,2.209139,2.178151,2.2025316,2.2085824,2.2857907
2010-09-23,2.163343,2.2238061,2.2204583,2.242806,2.2353995,2.2868881
2010-09-24,1.1824312,1.0332212,1.1090099,1.0733503,1.0332052,1.020813
2010-09-25,2.3628058,2.3539474,2.3343103,2.338457,2.3095586,2.28116
2010-09-26,1.3209019,1.2577312,1.2949235,1.2842095,1.2622975,1.3029591
2010-09-27,0.8236137,0.8162144,0.80379003,0.8053229,0.8024023,0.83480245
2010-09-28,0.53903806,0.49915105,0.5219021,0.512124,0.50108725,0.5141409
2010-09-29,1.3422283,1.2908897,1.3560449,1.344137,1.3143185,1.3398771
2010-09-30,0.43150622,0.3986831,0.3974003,0.39347935,0.39010704,0.41434255
2010-10-01,2.038592,2.0752707,2.0522935,2.0829673,2.0676868,2.0813375
2010-10-02,1.571648,1.4628057,1.5547704,1.5446372,1.5026202,1.5075092
2010-10-03,2.7167277,2.9082518,2.85068,2.9317288,2.9211922,2.92663
2010-10-04,1.4776701,1.5866783,1.51569,1.5580459,1.5652906,1.5800546
2010-10-05,1.4199833,1.4882677,1.4831285,1.5136085,1.4994899,1.4941975
2010-10-06,0.9833832,1.1174246,1.0261377,1.0782394,1.1004905,1.1434109
2010-10-07,0.8422433,0.87406033,0.8483241,0.8630236,0.8639756,0.8641208
2010-10-08,1.4940039,1.5548751,1.5370535,1.555577,1.5524468,1.5713253
2010-10-09,1.614066,1.649123,1.671979,1.6855972,1.6650729,1.6918255
2010-10-10,1.9338818,2.0739877,1.9759725,2.0261862,2.0346735,2.083274
2010-10-11,1.6597481,1.7573842,1.672011,1.7054439,1.7088647,1.7513981
2010-10-12,1.0613731,1.1410228,1.0656699,1.0897118,1.1028785,1.1596755
2010-10-13,0.9981541,1.0690663,1.0141652,1.0383524,1.0371099,1.0510026
2010-10-14,0.6041657,0.67958665,0.62184566,0.6450969,0.65895736,0.69176096
2010-10-15,0.7327337,0.71729547,0.73334223,0.7303411,0.72446775,0.7530276
2010-10-16,1.335078,1.1829914,1.2249599,1.1826525,1.1464443,1.1305025
2010-10-17,0.6295308,0.673318,0.64727527,0.67389894,0.6607,0.672479
2010-10-18,1.0362017,1.0618296,1.0343345,1.0580055,1.0338827,0.99675494
2010-10-19,1.5324525,1.3414987,1.4637012,1.4239111,1.3660489,1.3695666
2010-10-20,1.4235376,1.2780135,1.3702444,1.3312608,1.2836609,1.2751576
2010-10-21,1.4180193,1.4892601,1.465089,1.5005388,1.4765774,1.4871784
2010-10-22,0.8371814,0.8596109,0.85222894,0.87406033,0.8471301,0.81658554
2010-10-23,1.2719281,1.1641369,1.2354802,1.2166339,1.1785218,1.1801999
2010-10-24,0.8095619,0.8248308,0.8076625,0.8083241,0.80672663,0.84019184
2010-10-25,0.9051996,0.9119626,0.90563756,0.9101716,0.9024427,0.9308898
2010-10-26,0.8844954,0.91573834,0.8989251,0.9234835,0.9087033,0.90668637
2010-10-27,1.3607197,1.2383927,1.3531729,1.3282112,1.2597159,1.1842822
2010-10-28,0.8773865,0.89245486,0.97876376,0.9913495,0.95407647,0.9616278
2010-10-29,1.1043582,1.2024266,1.1676464,1.2223458,1.2096957,1.2007082
2010-10-30,0.6277882,0.5931325,0.62868714,0.63715833,0.61684364,0.6359804
2010-10-31,0.7373392,0.74253947,0.71907836,0.72424173,0.7293729,0.7781506
2010-11-01,0.30593947,0.35886866,0.33485898,0.35402796,0.36287022,0.39272103
2010-11-02,0.72277576,0.7564564,0.7670333,0.78228134,0.7761982,0.78431433
2010-11-03,0.54703206,0.4842902,0.5157706,0.4970695,0.48850155,0.4804822
2010-11-04,1.3230455,1.2415875,1.3150285,1.3148993,1.2694293,1.2408856
2010-11-05,1.1447154,1.0915028,1.1067187,1.1053956,1.0863557,1.0387719
2010-11-06,0.98270553,0.8787073,0.9284856,0.9029107,0.8753996,0.8660248
2010-11-07,0.5332293,0.5302281,0.5376827,0.53037333,0.5313575,0.5608533
2010-11-08,1.1804258,1.1446775,1.1356658,1.1379248,1.1181749,1.1279207
2010-11-09,0.75942653,0.7063556,0.74037737,0.72419345,0.71359235,0.7538505
2010-11-10,0.30169347,0.242015,0.25760195,0.24235389,0.23501217,0.27570602
2010-11-11,1.8474691,1.5353916,1.7324872,1.6557305,1.5738102,1.5559483
2010-11-12,1.9186958,1.7985542,1.9011035,1.8807728,1.8366259,1.8494053
2010-11-13,1.0490502,0.9193205,1.0718981,1.0581023,1.0215875,1.1051857
2010-11-14,1.9818459,1.8404744,1.9281467,1.9019265,1.8682517,1.8766583
2010-11-15,0.36169004,0.37660965,0.37080893,0.37861848,0.37300336,0.3794414
2010-11-16,0.2963826,0.33696467,0.309623,0.32440317,0.32788846,0.34513733
2010-11-17,0.46678776,0.48823532,0.46371737,0.47833613,0.468913,0.46094203
2010-11-18,0.43785435,0.45815063,0.42689607,0.43651283,0.43983674,0.46107113
2010-11-19,0.3618698,0.36269274,0.37790856,0.38500816,0.37280968,0.3839271
2010-11-20,0.35813564,0.37205946,0.35993358,0.36792067,0.36548415,0.3767952
2010-11-21,0.368218,0.38767058,0.37100258,0.38011914,0.37506875,0.37789246
2010-11-22,0.40265587,0.41560122,0.4075012,0.41787636,0.41372952,0.42475006
2010-11-23,0.43116045,0.36746082,0.41802153,0.39425385,0.37322927,0.39007476
2010-11-24,0.40885195,0.31811032,0.3630639,0.3356819,0.31449595,0.31660965
2010-11-25,0.5267705,0.4945282,0.5168033,0.50883234,0.49389085,0.49676296
2010-11-26,0.37997392,0.34083718,0.35577062,0.345218,0.33001834,0.31906232
2010-11-27,0.32761183,0.3387557,0.3167549,0.32662985,0.31965932,0.30936483
